City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
4,Bengkulu,ID,75.92,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
6,Rikitea,PF,79.2,clear sky,-23.1203,-134.9692,People ThankYou
7,Kahului,US,85.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
10,Hilo,US,75.25,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
13,Souillac,MU,78.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
22,Puerto Madero,MX,86.2,scattered clouds,14.7208,-92.4215,Hospedaje madero
37,Faanui,PF,81.55,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
41,Bandarbeyla,SO,75.31,broken clouds,9.4942,50.8122,JABIR HOTEL
42,Cidreira,BR,77.04,clear sky,-30.1811,-50.2056,Hotel Castelo
49,Sambava,MG,75.94,overcast clouds,-14.2667,50.1667,Melrose
52,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Bambous Virieux,MU,78.22,overcast clouds,-20.3428,57.7575,Casa Tia Villa
58,Meulaboh,ID,75.07,overcast clouds,4.1363,96.1285,Kost Pria
61,Kavieng,PG,81.5,broken clouds,-2.5744,150.7967,Nusa Island Retreat
70,Benjamin Constant,BR,82.53,light rain,-4.3831,-70.0311,CASA AVALIADA
72,Labuhan,ID,77.36,overcast clouds,-6.8844,112.2051,DoubleFAG
75,Puerto Ayora,EC,85.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Marsh Harbour,BS,75.06,broken clouds,26.5412,-77.0636,Abaco Beach Resort
86,Santo Domingo Suchitepequez,GT,86.0,few clouds,14.4667,-91.4833,Servicios y Accesorios Tecnológicos
87,Caravelas,BR,79.0,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
91,Beira,MZ,77.09,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
93,Springbok,ZA,75.83,few clouds,-29.6643,17.8865,Undulata Country Lodge
98,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
103,Acapulco,MX,85.82,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
105,Tucuman,AR,75.2,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
106,Atuona,PF,78.51,clear sky,-9.8,-139.0333,Villa Enata
108,Vaini,TO,78.12,moderate rain,-21.2,-175.2,Keleti Beach Resort
112,Alta Floresta,BR,81.05,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
120,Harper,LR,79.83,overcast clouds,4.375,-7.7169,Screensaver
121,Kimbe,PG,77.65,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
140,Butaritari,KI,81.79,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
145,Mana,GF,78.76,overcast clouds,5.6592,-53.7767,LE SAMANA
147,Hithadhoo,MV,82.15,scattered clouds,-0.6,73.0833,Scoop Guest House
149,Bathsheba,BB,78.78,broken clouds,13.2167,-59.5167,Atlantis Hotel
152,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
155,Pandan,PH,76.84,overcast clouds,14.0453,124.1694,Bonifacio Lodge
161,Isangel,VU,79.84,overcast clouds,-19.55,169.2667,Tanna Lodge
163,El Alto,PE,76.66,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
165,Port Elizabeth,ZA,77.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
174,Torit,SS,79.59,overcast clouds,4.4133,32.5678,Diplomat Guest House
177,Itarema,BR,80.58,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
182,Saint-Joseph,RE,77.38,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
184,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
190,Diego De Almagro,CL,81.27,clear sky,-26.3667,-70.05,hotel luna del desierto
193,Arraial Do Cabo,BR,82.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
