City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Matara,LK,5.9485,80.5353,74.68,84,90,2.86,overcast clouds
1,Albany,US,42.6001,-73.9662,27.68,60,71,1.99,broken clouds
2,Barrow,US,71.2906,-156.7887,-25.58,68,0,11.5,clear sky
3,Avarua,CK,-21.2078,-159.775,82.45,78,20,11.5,few clouds
4,Bengkulu,ID,-3.8004,102.2655,75.92,87,100,9.8,overcast clouds
5,Nikolskoye,RU,59.7035,30.7861,34.88,96,100,12.21,snow
6,Rikitea,PF,-23.1203,-134.9692,79.2,70,2,17.45,clear sky
7,Kahului,US,20.8947,-156.47,85.26,68,20,18.41,few clouds
8,Upernavik,GL,72.7868,-56.1549,-12.73,99,100,9.69,overcast clouds
9,Meadow Lake,US,34.8014,-106.5436,42.85,38,71,16.89,broken clouds
10,Hilo,US,19.7297,-155.09,75.25,92,100,5.75,heavy intensity rain
11,Karakol,KG,42.4907,78.3936,21.18,75,100,4.61,overcast clouds
12,San Cristobal,VE,7.7669,-72.225,73.58,61,80,2.51,broken clouds
13,Souillac,MU,-20.5167,57.5167,78.37,85,72,10.49,broken clouds
14,Northam,GB,51.0333,-4.2167,47.25,79,17,23.89,few clouds
15,Busselton,AU,-33.65,115.3333,52.09,58,50,16.17,scattered clouds
16,Shepsi,RU,44.0361,39.1489,39.25,69,95,5.08,overcast clouds
17,Los Llanos De Aridane,ES,28.6585,-17.9182,63.12,70,40,18.99,scattered clouds
18,Tiksi,RU,71.6872,128.8694,-15.72,99,100,4.5,overcast clouds
19,Bluff,NZ,-46.6,168.3333,55.8,66,2,5.17,clear sky
20,Kigoma,TZ,-4.8769,29.6267,74.97,71,100,1.66,overcast clouds
21,Greaca,RO,44.1094,26.3394,39.42,51,78,6.71,broken clouds
22,Puerto Madero,MX,14.7208,-92.4215,86.2,62,40,8.05,scattered clouds
23,Ushuaia,AR,-54.8,-68.3,60.46,63,75,9.22,broken clouds
